D,O,H,L,C,ST,T
5/24/23,41014.65,41122.55,40897.7,40984.05,213856668,8020.68
5/25/23,41005.2,41275.2,40944.6,41213.3,307741106,7608.02
5/26/23,41225.5,41710.85,41186.35,41684.7,255688893,9422.18
5/29/23,41980.5,41996.95,41840.25,41925.3,206837889,8084.5
5/30/23,41961.6,42031.25,41834.85,41946,190445651,7767.94
5/31/23,41899.4,42129.35,41804.85,42049.3,612162161,23496.54
6/1/23,42132.9,42320.9,42067.8,42154.7,200025788,7731.31
6/2/23,42290.3,42372.9,42216.05,42331.4,329265701,7886.09
6/5/23,42419,42546.55,42360.45,42401.35,238372719,7219.59
6/6/23,42475.3,42642.85,42352.6,42597.1,197331786,7199.85
6/7/23,42766.3,43027.65,42710.4,42998.5,209370943,7344.81
6/8/23,43103.55,43119.5,42652.4,42713.45,244751336,6988.24
6/9/23,42804.1,42862.7,42630.4,42672.65,205122192,7384.76
6/12/23,42793.25,42946.35,42646.5,42870.55,243478723,7144.04
6/13/23,43039.3,43304.5,42997.2,43278.65,222299534,7212.11
6/14/23,43407.8,43424.85,43250.8,43379.25,227909559,6952.72
6/15/23,43460,43641.2,43339.1,43393.85,222880020,6777.07
6/16/23,43568.65,43932.35,43530,43836.75,234212444,9783.53
6/19/23,43978.25,44054.1,43709.1,43764.7,211063179,6989.18
6/20/23,43861.35,43978.25,43674.1,43926.3,182399064,7645.85
6/21/23,44044.15,44175.55,43749.5,43905.65,213485798,7571.03
6/22/23,43984.95,43985.1,43341.15,43387.15,206016346,6570.22
6/23/23,43406.5,43414.8,42781.55,42833.15,205394832,8237.87
6/26/23,42669.3,43070.75,42589.85,43006.6,161931996,7201.66
6/27/23,43149.65,43254.5,43074.1,43192.6,188511923,7130.02
6/28/23,43381.8,43524.05,43263.3,43465.45,301430796,13679.69
6/30/23,43622.65,43782.9,43575.5,43750.3,269236219,12118.04
7/3/23,43921.75,43966.1,43780.85,43924.85,224348469,6469.05
7/4/23,44073.55,44081,43647.9,43758.2,159856006,5762.2
7/5/23,43932.3,44156.8,43867.15,44108,217361534,6980.63
7/6/23,44209.35,44396.75,44136.7,44372.1,236614675,6963.51
7/7/23,44371.4,44510.1,43928,44002.5,225698802,7340.64
7/10/23,44120,44132.95,43659.7,43759.95,169285257,5769.87
7/11/23,43866.3,44210.1,43812.55,44090.8,220317182,7732.69
7/12/23,44186.4,44231.05,43949.2,44202.85,203178526,9267.22
7/13/23,44392.05,44473.2,43781.05,43917.1,362917147,8088.79
7/14/23,44113.75,44286.65,43890.4,44243.05,242633216,6819.46
7/17/23,44334.95,44437.9,44258.4,44370.15,186556172,6317.47
7/18/23,44506.9,44507.1,44053.15,44180.6,203996225,6788.42
7/19/23,44289.65,44444.9,44242.2,44414.4,173525278,5964.55
7/20/23,44489.65,44506.15,44166.45,44350.8,170567846,7216.75
7/21/23,44292.7,44401.15,44139.8,44184.75,229508082,7295.89
7/24/23,44256.65,44345.2,44113.15,44176.8,233667063,7653.34
7/25/23,44253.25,44432.25,44118,44407.55,243403178,8511.28
7/26/23,44579.65,44622,44446.4,44568.25,223708450,7548.78
7/27/23,44682.3,44824,44543.3,44696.45,236625356,8160.72
